variant,subject,n_frames,n_drowsy,n_notdrowsy,accuracy,precision,recall_tpr,specificity,f1,fpr,roc_auc,pr_auc,tp,fp,tn,fn
V0,001,19016,9584,9432,0.607488,0.589376,0.729341,0.483673,0.651931,0.516327,0.625401,0.632368,6990,4870,4562,2594
V0,002,18833,10596,8237,0.596294,0.602171,0.83239,0.292582,0.698808,0.707418,0.620676,0.64287,8820,5827,2410,1776
V0,005,21933,13087,8846,0.69229,0.679628,0.916176,0.361067,0.78037,0.638933,0.71897,0.752529,11990,5652,3194,1097
V0,006,6739,2763,3976,0.344116,0.276383,0.370612,0.325704,0.316636,0.674296,0.372733,0.326037,1024,2681,1295,1739
V1,001,19016,9584,9432,0.608382,0.594382,0.702108,0.513147,0.643769,0.486853,0.642016,0.677281,6729,4592,4840,2855
V1,002,18833,10596,8237,0.591037,0.599656,0.821725,0.294282,0.693343,0.705718,0.59649,0.629286,8707,5813,2424,1889
V1,005,21933,13087,8846,0.674418,0.679464,0.86009,0.399729,0.759181,0.600271,0.688557,0.729645,11256,5310,3536,1831
V1,006,6739,2763,3976,0.334026,0.261938,0.343467,0.327465,0.297213,0.672535,0.358282,0.315562,949,2674,1302,1814
V2,001,19016,9584,9432,0.608277,0.590797,0.72475,0.489928,0.650954,0.510072,0.623841,0.631637,6946,4811,4621,2638
V2,002,18833,10596,8237,0.596772,0.602752,0.830974,0.295496,0.698699,0.704504,0.609187,0.612325,8805,5803,2434,1791
V2,005,21933,13087,8846,0.694114,0.681482,0.91503,0.367285,0.781174,0.632715,0.717901,0.75029,11975,5597,3249,1112
V2,006,6739,2763,3976,0.344116,0.275899,0.369164,0.32671,0.315789,0.67329,0.373615,0.327928,1020,2677,1299,1743
V3,001,19016,9584,9432,0.608961,0.595876,0.696473,0.520038,0.642259,0.479962,0.639794,0.672287,6675,4527,4905,2909
V3,002,18833,10596,8237,0.591515,0.600221,0.820404,0.297074,0.693249,0.702926,0.587598,0.600552,8693,5790,2447,1903
V3,005,21933,13087,8846,0.676105,0.681512,0.858256,0.406624,0.75974,0.593376,0.687144,0.729874,11232,5249,3597,1855
V3,006,6739,2763,3976,0.334174,0.261615,0.342381,0.328471,0.296598,0.671529,0.35907,0.318637,946,2670,1306,1817
V4,001,19016,9584,9432,0.608961,0.595876,0.696473,0.520038,0.642259,0.479962,0.639794,0.672287,6675,4527,4905,2909
V4,002,18833,10596,8237,0.591515,0.600221,0.820404,0.297074,0.693249,0.702926,0.587598,0.600552,8693,5790,2447,1903
V4,005,21933,13087,8846,0.676105,0.681512,0.858256,0.406624,0.75974,0.593376,0.687144,0.729874,11232,5249,3597,1855
V4,006,6739,2763,3976,0.334174,0.261615,0.342381,0.328471,0.296598,0.671529,0.35907,0.318637,946,2670,1306,1817
