subject,glasses,condition,start_idx,end_idx,start_ts,end_ts,duration,n_frames
001,glasses,sleepyCombination,599,2747,19.966667,91.566667,71.600000,2149
001,glasses,slowBlinkWithNodding,464,615,15.466667,20.500000,5.033333,152
001,glasses,slowBlinkWithNodding,706,784,23.533333,26.133333,2.600000,79
001,glasses,slowBlinkWithNodding,836,1417,27.866667,47.233333,19.366667,582
001,glasses,slowBlinkWithNodding,1517,1920,50.566667,64.000000,13.433333,404
001,glasses,yawning,339,1054,11.300000,35.133333,23.833333,716
001,glasses,yawning,1559,1849,51.966667,61.633333,9.666667,291
001,noglasses,sleepyCombination,330,2710,11.000000,90.333333,79.333333,2381
001,noglasses,slowBlinkWithNodding,398,589,13.266667,19.633333,6.366667,192
001,noglasses,slowBlinkWithNodding,710,1029,23.666667,34.300000,10.633333,320
001,noglasses,slowBlinkWithNodding,1090,1599,36.333333,53.300000,16.966667,510
001,noglasses,slowBlinkWithNodding,1720,1851,57.333333,61.700000,4.366667,132
001,noglasses,yawning,196,1871,6.533333,62.366667,55.833333,1676
002,glasses,sleepyCombination,314,2878,10.466667,95.933333,85.466667,2565
002,glasses,slowBlinkWithNodding,395,404,13.166667,13.466667,0.300000,10
002,glasses,slowBlinkWithNodding,502,2035,16.733333,67.833333,51.100000,1534
002,glasses,yawning,432,2066,14.400000,68.866667,54.466667,1635
002,noglasses,sleepyCombination,239,2656,7.966667,88.533333,80.566667,2418
002,noglasses,slowBlinkWithNodding,209,433,6.966667,14.433333,7.466667,225
002,noglasses,slowBlinkWithNodding,670,1809,22.333333,60.300000,37.966667,1140
002,noglasses,yawning,268,778,8.933333,25.933333,17.000000,511
002,noglasses,yawning,989,1177,32.966667,39.233333,6.266667,189
002,noglasses,yawning,1252,1337,41.733333,44.566667,2.833333,86
002,noglasses,yawning,1488,1770,49.600000,59.000000,9.400000,283
005,glasses,nonsleepyCombination,650,744,21.666667,24.800000,3.133333,95
005,glasses,sleepyCombination,287,2921,9.566667,97.366667,87.800000,2635
005,glasses,slowBlinkWithNodding,344,2252,11.466667,75.066667,63.600000,1909
005,glasses,yawning,298,1602,9.933333,53.400000,43.466667,1305
005,glasses,yawning,1654,1723,55.133333,57.433333,2.300000,70
005,glasses,yawning,1810,2061,60.333333,68.700000,8.366667,252
005,glasses,yawning,2090,2297,69.666667,76.566667,6.900000,208
005,noglasses,sleepyCombination,249,3191,8.300000,106.366667,98.066667,2943
005,noglasses,slowBlinkWithNodding,223,2252,7.433333,75.066667,67.633333,2030
005,noglasses,yawning,407,698,13.566667,23.266667,9.700000,292
005,noglasses,yawning,733,812,24.433333,27.066667,2.633333,80
005,noglasses,yawning,944,1079,31.466667,35.966667,4.500000,136
005,noglasses,yawning,1360,1600,45.333333,53.333333,8.000000,241
005,noglasses,yawning,1749,2639,58.300000,87.966667,29.666667,891
006,glasses,sleepyCombination,128,2608,4.266667,86.933333,82.666667,2481
006,glasses,sleepyCombination,2760,2848,92.000000,94.933333,2.933333,89
006,glasses,slowBlinkWithNodding,316,508,10.533333,16.933333,6.400000,193
