variant,name,subject,regime,n_recordings,n_frames,tp,fp,fn,recall,precision,miss_rate,f1,fa_per_hour_total,fa_per_hour_alert,n_gt_episodes,n_alarm_events,alarm_duty_cycle,latency_median,latency_n
V0,V0_baseline,001,primary,8,19016,0,0,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,13,0,0.000000,nan,0
V0,V0_baseline,002,primary,8,18833,2,0,9,0.181818,1.000000,0.818182,0.307692,0.000000,0.000000,11,2,0.009876,22.766667,2
V0,V0_baseline,005,primary,8,21933,4,6,10,0.285714,0.400000,0.714286,0.333333,29.544522,73.253448,14,10,0.052478,3.516667,4
V0,V0_baseline,006,primary,3,6739,0,0,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,3,0,0.000000,nan,0
V1,V1_speech_filter,001,primary,8,19016,0,0,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,13,0,0.000000,nan,0
V1,V1_speech_filter,002,primary,8,18833,1,0,10,0.090909,1.000000,0.909091,0.166667,0.000000,0.000000,11,1,0.004035,38.600000,1
V1,V1_speech_filter,005,primary,8,21933,4,5,10,0.285714,0.444444,0.714286,0.347826,24.620435,61.044540,14,9,0.047508,3.750000,4
V1,V1_speech_filter,006,primary,3,6739,0,0,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,3,0,0.000000,nan,0
V2,V2_reliability_gate,001,primary,8,19016,0,0,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,13,0,0.000000,nan,0
V2,V2_reliability_gate,002,primary,8,18833,1,0,10,0.090909,1.000000,0.909091,0.166667,0.000000,0.000000,11,1,0.004142,38.266667,1
V2,V2_reliability_gate,005,primary,8,21933,4,6,10,0.285714,0.400000,0.714286,0.333333,29.544522,73.253448,14,10,0.051475,3.583333,4
V2,V2_reliability_gate,006,primary,3,6739,0,0,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,3,0,0.000000,nan,0
V3,V3_full,001,primary,8,19016,0,0,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,13,0,0.000000,nan,0
V3,V3_full,002,primary,8,18833,1,0,10,0.090909,1.000000,0.909091,0.166667,0.000000,0.000000,11,1,0.003186,38.666667,1
V3,V3_full,005,primary,8,21933,4,4,10,0.285714,0.500000,0.714286,0.363636,19.696348,48.835632,14,8,0.041262,3.800000,4
V3,V3_full,006,primary,3,6739,0,0,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,3,0,0.000000,nan,0
V4,V4_full_cnn,001,primary,8,19016,0,0,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,13,0,0.000000,nan,0
V4,V4_full_cnn,002,primary,8,18833,1,0,10,0.090909,1.000000,0.909091,0.166667,0.000000,0.000000,11,1,0.003186,38.666667,1
V4,V4_full_cnn,005,primary,8,21933,4,4,10,0.285714,0.500000,0.714286,0.363636,19.696348,48.835632,14,8,0.041262,3.800000,4
V4,V4_full_cnn,006,primary,3,6739,0,0,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,3,0,0.000000,nan,0
